Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message,
0.28001775000034834,,,,1000,-0.0076171875,-0.01650390625,-0.97412109375,-0.049322148653113754,-0.03940663246269438,0,-0.025514182590302435,0,49,0,0.2535128809797327,0,0.1555362461512737,0,0.04191896953055002,-0.2937363604246527,-0.03940663246269438,0.08671875,-0.026473189726156903,0,0.35,1,0.05,0,0,0,0,,
0.24022774999937976,,,,1001.4285714285713,-0.00458984375,-0.01240234375,-0.98076171875,-0.04928118909901489,-0.038956662578583365,0,-0.025290297419393565,0,49,0,0.25330144586496894,0,0.15384715873064098,0,0.04120570992001476,-0.2941708752314576,-0.038956662578583365,0.08701171875,-0.02640333031991382,0,0.4,1,0,0,0,0,0,,
5.741936749999226,,,,1002.8571428571428,-0.004296875,-0.01611328125,-0.97060546875,-0.04923503193276128,-0.03921910640942051,0,-0.026505207408302395,0,49,0,0.2518591996177218,0,0.15586757049546568,0,0.041556642973470746,-0.29350582571528194,-0.03921910640942051,0.08427734375,-0.026404200051979392,0,0.45,1,0.05,0,0,0,0,,
11.272403999999167,,,,1004.2857142857141,-0.0029296875,-0.0150390625,-0.97685546875,-0.04923103466343104,-0.039269122710594004,0,-0.025502369204404258,0,49,0,0.2517326518473533,0,0.15607378179639625,0,0.04144977540100714,-0.29358549040237686,-0.039269122710594004,0.08564453125,-0.025791730363049204,0,0.4,1,0.1,0,0,0,0,,
16.83151074999944,,,,1005.7142857142859,-0.00849609375,-0.00810546875,-0.9771484375,-0.04927084961451877,-0.03872928248962869,0,-0.027017601598659742,0,49,0,0.25398157618582956,0,0.15265005129306952,0,0.042004176354426145,-0.29330204480896216,-0.03872928248962869,0.0888671875,-0.026154439234115378,0,0.35,1,0,0,0,0,0,,
22.36012774999938,,,,1007.1428571428572,-0.002734375,-0.01826171875,-0.9751953125,-0.04932305956973369,-0.038300108359269246,0,-0.027937726649077916,0,50,0,0.2564193825368664,0,0.14943794993569923,0,0.041627903816079226,-0.2940336252611604,-0.038300108359269246,0.08837890625,-0.026278975311219376,0,0.45,1,0.05,0,0,0,0,,
27.890332499999317,,,,1008.5714285714287,-0.0091796875,-0.0130859375,-0.97568359375,-0.04938709358780401,-0.03795606660011263,0,-0.026433044871237293,0,50,0,0.257299188928215,0,0.14773758956137087,0,0.042314421112698994,-0.2937828829672664,-0.03795606660011263,0.08671875,-0.026109751904748596,0,0.3,1,0.05,0,0,0,0,,
33.41277724999921,,,,1010,-0.0037109375,-0.01484375,-0.98203125,-0.049292611528249375,-0.0388513505359971,0,-0.0264814349616297,0,51,0,0.2615721290648407,0,0.1485827837661335,0,0.04189957468585856,-0.2935547442902398,-0.0388513505359971,0.08935546875,-0.02673110873485946,0,0.45,1,0.15,0,0,0,0,,
38.923008749999426,,,,1011.4285714285713,-0.00771484375,-0.01142578125,-0.9810546875,-0.049243040345930994,-0.039282724937182975,0,-0.02722843497135951,0,50,0,0.25538067187816804,0,0.15404385208139865,0,0.04147756533511119,-0.2936394035455087,-0.039282724937182975,0.0916015625,-0.02656583696123873,0,0.4,1,0.1,0,0,0,0,,
44.419580499999455,,,,1012.8571428571428,-0.00634765625,-0.00908203125,-0.97958984375,-0.049376276796738845,-0.038335518576648506,0,-0.025171847731556764,0,50,0,0.25977918917604464,0,0.14764205918866488,0,0.042302235218190064,-0.2937214566272483,-0.038335518576648506,0.09033203125,-0.026391560759047916,0,0.4,1,0.05,0,0,0,0,,
