Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message,
0.31152899999999933,,,,1400,0,-0.10625,-0.99091796875,-0.04919778068778533,-0.09998372948898993,0,-0.04450203915385661,0,0,0,0,0,0,0,0.026100916860014478,-0.30870804343007563,-0.09998372948898993,0.07421875,-0.04494468595928044,0,1,1,0.05,0,0,0,0,,
0.30918525000000663,,,,1406,-0.0017578125,-0.03505859375,-0.95546875,-0.049665149661981316,-0.0642623805120663,0,-0.04588200504388059,0,0,0,0,0,0,0,0.02816992268988435,-0.3098196550617015,-0.0642623805120663,0.10400390625,-0.0459877154864536,0,1,1,0.15,0,0,0,0,,
5.984682000000008,,,,1412,-0.00390625,-0.030859375,-0.96611328125,-0.049215245209446964,-0.06448345332249206,0,-0.0457022524591014,0,0,0,0,0,0,0,0.024847857529997172,-0.31007995524200893,-0.06448345332249206,0.11142578125,-0.0457159463975833,0,1,1,0,0,0,0,0,,
11.668784750000006,,,,1418,0,-0.04287109375,-0.96904296875,-0.04952407193021967,-0.0709067747824236,0,-0.04567368495865885,0,0,0,0,0,0,0,0.02743301979237961,-0.30959647219861147,-0.0709067747824236,0.08984375,-0.04623216260935116,0,1,1,0.05,0,0,0,0,,
17.266398750000008,,,,1424,0,-0.04267578125,-0.97509765625,-0.04952344673477738,-0.07287921524117708,0,-0.04558744982489847,0,0,0,0,0,0,0,0.027309112823891535,-0.3097161244825777,-0.07287921524117708,0.091796875,-0.04543316972528152,0,1,1,0.05,0,0,0,0,,
22.85852050000001,,,,1430,0,-0.04287109375,-0.9810546875,-0.04946862429830699,-0.07475724659701452,0,-0.04502371961037485,0,0,0,0,0,0,0,0.026644817785289494,-0.3100073327132258,-0.07475724659701452,0.09375,-0.04571600499179848,0,1,1,0.1,0,0,0,0,,
29.189352750000012,,,,1436,0,-0.04306640625,-0.98837890625,-0.04943746298510883,-0.07763117901530965,0,-0.045422179180742296,0,0,0,0,0,0,0,0.026714152741223508,-0.3097259335802639,-0.07763117901530965,0.09765625,-0.04543191164633434,0,1,1,0,0,0,0,0,,
36.2129145,,,,1442,0,-0.04931640625,-0.9919921875,-0.049431702114146145,-0.08081157187145153,0,-0.04568763341865951,0,0,0,0,0,0,0,0.027180765740753766,-0.30922011573875857,-0.08081157187145153,0.0982421875,-0.04526071436052115,0,1,1,0.05,0,0,0,0,,
43.14671950000002,,,,1448,0,-0.105078125,-0.94404296875,-0.04937004682797883,-0.0842468684684107,0,-0.044587918099909835,0,0,0,0,0,0,0,0.026913397220204686,-0.3090678974005211,-0.0842468684684107,0.05859375,-0.04526069003467537,0,1,1,0.15,0,0,0,0,,
49.03068675,,,,1454,0,-0.1056640625,-0.94990234375,-0.04951282672678247,-0.08641460498123694,0,-0.0456042006674192,0,0,0,0,0,0,0,0.026976172449900006,-0.309976791803083,-0.08641460498123694,0.05859375,-0.045648130009816254,0,1,1,0.1,0,0,0,0,,
