Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message,
2.8588198999999874,,,,1400,0,-0.047841796875,-0.956953125,-0.03092686288989409,0.0057196872851392536,0,-0.047213182630000766,0,0,0,0,0,0,0,-0.040355416816069176,-0.25082407341891544,0.0057196872851392536,0.05859375,-0.04717985299885636,0,1,1,0.075,0,0,0,0,,
3.0109475499995653,,,,1418,0,-0.047763671875,-0.95705078125,-0.030905057885910577,0.005852214477022514,0,-0.047013989834506706,0,0,0,0,0,0,0,-0.0404701001015982,-0.25079036564674245,0.005852214477022514,0.05859375,-0.04700903009559783,0,1,1,0.06,0,0,0,0,,
13.917600249999555,,,,1436,0,-0.047900390625,-0.95712890625,-0.03093027246299039,0.0057377408844813994,0,-0.04750290969438439,0,0,0,0,0,0,0,-0.040458451358278635,-0.2509503113578522,0.0057377408844813994,0.05859375,-0.047801634341909684,0,1,1,0.075,0,0,0,0,,
24.75512504999959,,,,1454,0,-0.0478515625,-0.95712890625,-0.030933358161013277,0.005571196741077152,0,-0.04724686345880755,0,0,0,0,0,0,0,-0.040388421627181516,-0.2509012809346984,0.005571196741077152,0.05859375,-0.04733248446261906,0,1,1,0.085,0,0,0,0,,
35.59384024999965,,,,1472,0,-0.04791015625,-0.957080078125,-0.030915731437525674,0.006024809176961687,0,-0.047329251628843785,0,0,0,0,0,0,0,-0.0403666042592677,-0.2507595072418918,0.006024809176961687,0.05859375,-0.04693636112125125,0,1,1,0.065,0,0,0,0,,
46.42283084999959,,,,1490,0,-0.047998046875,-0.957197265625,-0.030948444503875537,0.005941368856255731,0,-0.04769250255969403,0,0,0,0,0,0,0,-0.04034836884909021,-0.2509638962586574,0.005941368856255731,0.05859375,-0.0473014877747598,0,1,1,0.065,0,0,0,0,,
57.097131299999575,,,,1508,0,-0.0477734375,-0.95703125,-0.030923818939942324,0.005860506374676274,0,-0.046859114791810125,0,0,0,0,0,0,0,-0.040584273893288475,-0.25103221529914216,0.005860506374676274,0.05859375,-0.04684187817528909,0,1,1,0.065,0,0,0,0,,
67.93907172499961,,,,1526,0,-0.047763671875,-0.956982421875,-0.030904687926195988,0.0057659492635559985,0,-0.046923905696944324,0,0,0,0,0,0,0,-0.0406685776639483,-0.25098632549740624,0.0057659492635559985,0.05859375,-0.04682213707947083,0,1,1,0.085,0,0,0,0,,
78.66252627499962,,,,1544,0,-0.04787109375,-0.957109375,-0.03093187577986189,0.0057349920922022905,0,-0.04682099663151087,0,0,0,0,0,0,0,-0.040542041041634856,-0.25104481220116787,0.0057349920922022905,0.05859375,-0.046733478429887586,0,1,1,0.1,0,0,0,0,,
89.43449889999964,,,,1562,0,-0.04791015625,-0.957021484375,-0.030907321577891486,0.005795603367689075,0,-0.04607705119600041,0,0,0,0,0,0,0,-0.04058303928641799,-0.2509187100865952,0.005795603367689075,0.05859375,-0.046260158931007676,0,1,1,0.055,0,0,0,0,,
